|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |      0|   1   |    0|    0|      0 |
|1   |     0|0011000000111001|  0  |      0|   1   |12345|    1|      0 |
|1+  |     0|1110110000010000|  0  | -12346|   0   |12345|    1| -12346 |
|2   |     0|1110110000010000|  0  |      0|   0   |12345|    2| -12346 |
|2+  |     0|0101101110100000|  0  | -12346|   0   |12345|    2| -12346 |
|3   |     0|0101101110100000|  0  | -12346|   0   |23456|    3| -12346 |
|3+  |     0|1110000111010000|  0  |      0|   0   |23456|    3|      0 |
|4   |     0|1110000111010000|  0  |      0|   0   |23456|    4|      0 |
|4+  |     0|0000001111101000|  0  |     -1|   1   |23456|    4|      0 |
|5   |     0|0000001111101000|  0  |     -1|   1   | 1000|    5|      0 |
|5+  |     0|1110001100001000|  0  |      0|   1   | 1000|    5|      0 |
|6   |     0|1110001100001000|  0  |      0|   1   | 1000|    6|      0 |
|6+  |     0|0000001111101001|  0  |     -1|   1   | 1000|    6|      0 |
|7   |     0|0000001111101001|  0  |     -1|   1   | 1001|    7|      0 |
|7+  |     0|1110001110011000|  0  |     -1|   1   | 1001|    7|     -1 |
|8   |     0|1110001110011000|  0  |      0|   1   | 1001|    8|     -1 |
|8+  |     0|0000001111101000|  0  |     -1|   1   | 1001|    8|     -1 |
